Ref,Val,Package,PosX,PosY,Rot,Side
"A1","NC/Arduino Footprint","Arduino_UNO_R3_WithMountingHoles",142.595600,-51.064200,180.000000,bottom
"C10","NC","C_0805_2012Metric",113.223000,-74.422000,0.000000,bottom
"C14","NC","C_0805_2012Metric",152.552400,-88.773000,0.000000,bottom
"R3","NC","R_0805_2012Metric",112.268000,-92.303600,90.000000,bottom
"R4","NC","R_0805_2012Metric",114.858800,-92.202000,90.000000,bottom
"R11","NC","R_0805_2012Metric",152.654000,-84.201000,180.000000,bottom
"R12","NC","R_0805_2012Metric",152.630500,-86.360000,180.000000,bottom
"R15","NC","R_0805_2012Metric",148.820500,-88.773000,180.000000,bottom
